,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
0,KLCC,1250000.0,3.0,3.0,2.0,Serviced Residence,1335.0,Fully Furnished
1,DAMANSARA HEIGHTS,4072500.0,5.5,7.0,0.0,Bungalow,4477.5,Partly Furnished
2,DUTAMAS,1030000.0,3.0,4.0,2.0,Condominium,1875.0,Partly Furnished
4,BUKIT JALIL,900000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
5,TAMAN TUN DR ISMAIL,4072500.0,5.5,5.0,4.0,Bungalow,4477.5,Partly Furnished
7,TAMAN TUN DR ISMAIL,2600000.0,5.0,4.0,4.0,Semi-detached House,3600.0,Partly Furnished
8,TAMAN TUN DR ISMAIL,1950000.0,5.0,4.0,3.0,2-sty Terrace/Link House,1875.0,Partly Furnished
9,SRI PETALING,385000.0,3.0,2.0,1.0,Apartment,904.0,Partly Furnished
11,TAMAN TUN DR ISMAIL,1680000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1760.0,Partly Furnished
12,TAMAN TUN DR ISMAIL,1700000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1900.0,Partly Furnished
13,TAMAN TUN DR ISMAIL,4072500.0,5.5,5.0,5.0,Bungalow,4477.5,Partly Furnished
15,TAMAN TUN DR ISMAIL,3100000.0,5.0,3.0,0.0,Semi-detached House,3600.0,Partly Furnished
16,BUKIT TUNKU (KENNY HILLS),4072500.0,5.5,7.0,4.0,Bungalow,4477.5,Partly Furnished
17,DAMANSARA HEIGHTS,4072500.0,5.5,7.0,0.0,Bungalow,4477.5,Partly Furnished
18,MONT KIARA,1780000.0,5.0,4.0,2.0,Condominium,1830.0,Partly Furnished
19,MONT KIARA,3450000.0,5.0,6.0,3.0,Condominium,3720.0,Fully Furnished
20,DESA PARKCITY,1500000.0,5.0,4.0,2.0,Condominium,1798.0,Partly Furnished
21,DAMANSARA HEIGHTS,1550000.0,1.5,1.0,1.0,Serviced Residence,904.0,Fully Furnished
22,MONT KIARA,1500000.0,4.0,4.0,3.0,Condominium,2163.0,Fully Furnished
23,MONT KIARA,1450000.0,4.0,4.0,0.0,Condominium,2163.0,Fully Furnished
24,BANGSAR SOUTH,490000.0,1.5,1.0,1.0,Serviced Residence,520.0,Fully Furnished
26,BUKIT JALIL,610000.0,4.0,2.0,2.0,Condominium,1236.0,Partly Furnished
28,DUTAMAS,1035880.0,4.0,4.0,1.0,Condominium,1876.0,Partly Furnished
29,MONT KIARA,1830000.0,3.0,4.0,0.0,Condominium,1668.0,Partly Furnished
31,AMPANG HILIR,3300000.0,5.0,4.0,4.0,Condominium,3536.0,Unfurnished
32,KEPONG,560000.0,3.0,2.0,0.0,2-sty Terrace/Link House,880.0,Partly Furnished
33,AMPANG HILIR,460000.0,1.5,1.0,1.0,Serviced Residence,613.0,Fully Furnished
35,KLCC,2400000.0,2.0,2.0,1.0,Serviced Residence,1006.0,Fully Furnished
36,MONT KIARA,2290710.0,5.0,4.0,0.0,Condominium,2767.0,Unfurnished
37,MONT KIARA,2284620.0,5.5,4.0,0.0,Condominium,2702.0,Unfurnished
39,JALAN KLANG LAMA (OLD KLANG ROAD),1438000.0,5.0,4.0,3.0,Condominium,2378.0,Partly Furnished
40,MONT KIARA,1720000.0,5.0,6.0,3.0,Condominium,2020.0,Partly Furnished
41,KLCC,3600000.0,4.0,4.0,0.0,Serviced Residence,3897.0,Partly Furnished
42,KLCC,4072500.0,4.0,4.0,2.0,Serviced Residence,2195.0,Fully Furnished
43,KLCC,2300000.0,1.5,2.0,1.0,Serviced Residence,1023.0,Partly Furnished
44,DAMANSARA HEIGHTS,4072500.0,5.5,5.0,5.0,Bungalow,4477.5,Partly Furnished
45,SUNGAI BESI,900000.0,5.5,5.0,3.0,3-sty Terrace/Link House,1600.0,Fully Furnished
46,KLCC,2700000.0,4.0,4.0,3.0,Serviced Residence,3095.0,Fully Furnished
47,MONT KIARA,1080000.0,2.0,2.0,1.0,Serviced Residence,896.0,Fully Furnished
48,MONT KIARA,1150000.0,3.0,2.0,2.0,Condominium,1200.0,Partly Furnished
49,BUKIT JALIL,1070000.0,5.0,4.0,4.0,Condominium,1772.0,Partly Furnished
50,BUKIT JALIL,930000.0,4.0,3.0,2.0,Condominium,1513.0,Partly Furnished
52,BANGSAR SOUTH,780000.0,2.0,2.0,1.0,Serviced Residence,880.0,Partly Furnished
53,KLCC,4072500.0,4.0,3.0,2.0,Serviced Residence,2066.0,Partly Furnished
55,KL CITY,1800000.0,2.0,2.0,1.0,Serviced Residence,1244.0,Fully Furnished
56,MONT KIARA,3600000.0,5.5,6.0,0.0,Condominium,4090.0,Fully Furnished
57,MONT KIARA,2300000.0,5.0,5.0,2.0,Condominium,2702.0,Partly Furnished
59,KLCC,4000000.0,4.0,3.0,2.0,Condominium,2250.0,Fully Furnished
60,AMPANG HILIR,4072500.0,5.0,6.0,3.0,Condominium,4300.0,Partly Furnished
61,AMPANG HILIR,3780000.0,5.0,5.0,4.0,Condominium,3628.0,Partly Furnished
63,BANGSAR SOUTH,850000.0,3.0,2.0,1.0,Serviced Residence,1050.0,Fully Furnished
64,MONT KIARA,1850000.0,4.0,4.0,0.0,Condominium,2347.0,Partly Furnished
65,KLCC,1698800.0,2.0,2.0,1.0,Serviced Residence,1227.0,Fully Furnished
66,SUNGAI BESI,999000.0,5.0,4.0,2.0,3-sty Terrace/Link House,2512.0,Partly Furnished
67,KL SENTRAL,3500000.0,1.5,1.0,1.0,Serviced Residence,1648.0,Partly Furnished
68,KLCC,1500000.0,2.0,2.0,1.0,Serviced Residence,1022.0,Fully Furnished
69,KLCC,2300000.0,1.5,2.0,1.0,Serviced Residence,1023.0,Partly Furnished
70,MONT KIARA,1830000.0,4.0,4.0,2.0,Condominium,1830.0,Partly Furnished
71,TAMAN MELAWATI,750000.0,4.0,3.0,3.0,2-sty Terrace/Link House,1800.0,Partly Furnished
72,SETAPAK,580000.0,5.0,2.0,2.0,Condominium,1550.0,Partly Furnished
73,KLCC,3000000.0,4.0,3.0,3.0,Serviced Residence,2066.0,Unfurnished
74,MONT KIARA,2180000.0,5.0,4.0,3.0,Condominium,3000.0,Partly Furnished
76,KLCC,2030000.0,4.0,5.0,2.0,Condominium,2356.0,Fully Furnished
77,MONT KIARA,3450000.0,5.0,6.0,3.0,Condominium,3720.0,Fully Furnished
79,CITY CENTRE,4072500.0,5.0,5.0,2.0,Condominium,3713.0,Partly Furnished
80,TAMAN TUN DR ISMAIL,2880000.0,5.0,3.0,4.0,2-sty Terrace/Link House,4244.0,Partly Furnished
81,KLCC,1799000.0,1.5,1.0,1.0,Serviced Residence,720.0,Fully Furnished
83,KLCC,1820000.0,3.0,2.0,2.0,Condominium,1159.0,Fully Furnished
84,KLCC,1000000.0,4.0,3.0,2.0,Serviced Residence,1313.0,Partly Furnished
85,KLCC,1650000.0,4.0,5.0,2.0,Condominium,1905.0,Fully Furnished
87,KLCC,2300000.0,1.5,1.0,2.0,Serviced Residence,1023.0,Partly Furnished
88,MONT KIARA,2400000.0,5.0,5.0,3.0,Condominium,2702.0,Partly Furnished
89,KLCC,2055000.0,2.0,1.0,1.0,Serviced Residence,797.0,Partly Furnished
90,KLCC,1714000.0,1.5,1.0,1.0,Serviced Residence,700.0,Partly Furnished
91,BUKIT JALIL,620000.0,3.0,2.0,0.0,Condominium,1232.0,Partly Furnished
92,BUKIT JALIL,1720000.0,5.5,7.0,0.0,2.5-sty Terrace/Link House,3033.0,Unfurnished
93,KLCC,2300000.0,4.0,4.0,3.0,Serviced Residence,3282.0,Partly Furnished
94,BUKIT JALIL,920000.0,5.0,3.0,2.0,Condominium,1513.0,Partly Furnished
